 v-sweep         v(a)            v(y)           
 0.00000000e+00  0.00000000e+00  3.29999999e+00 
 1.00000000e-02  1.00000000e-02  3.29999999e+00 
 2.00000000e-02  2.00000000e-02  3.29999999e+00 
 3.00000000e-02  3.00000000e-02  3.29999999e+00 
 4.00000000e-02  4.00000000e-02  3.29999999e+00 
 5.00000000e-02  5.00000000e-02  3.29999999e+00 
 6.00000000e-02  6.00000000e-02  3.29999999e+00 
 7.00000000e-02  7.00000000e-02  3.29999999e+00 
 8.00000000e-02  8.00000000e-02  3.29999999e+00 
 9.00000000e-02  9.00000000e-02  3.29999999e+00 
 1.00000000e-01  1.00000000e-01  3.29999999e+00 
 1.10000000e-01  1.10000000e-01  3.29999999e+00 
 1.20000000e-01  1.20000000e-01  3.29999999e+00 
 1.30000000e-01  1.30000000e-01  3.29999999e+00 
 1.40000000e-01  1.40000000e-01  3.29999999e+00 
 1.50000000e-01  1.50000000e-01  3.29999999e+00 
 1.60000000e-01  1.60000000e-01  3.29999999e+00 
 1.70000000e-01  1.70000000e-01  3.29999999e+00 
 1.80000000e-01  1.80000000e-01  3.29999999e+00 
 1.90000000e-01  1.90000000e-01  3.29999999e+00 
 2.00000000e-01  2.00000000e-01  3.29999999e+00 
 2.10000000e-01  2.10000000e-01  3.29999999e+00 
 2.20000000e-01  2.20000000e-01  3.29999999e+00 
 2.30000000e-01  2.30000000e-01  3.29999999e+00 
 2.40000000e-01  2.40000000e-01  3.29999999e+00 
 2.50000000e-01  2.50000000e-01  3.29999999e+00 
 2.60000000e-01  2.60000000e-01  3.29999999e+00 
 2.70000000e-01  2.70000000e-01  3.29999999e+00 
 2.80000000e-01  2.80000000e-01  3.29999999e+00 
 2.90000000e-01  2.90000000e-01  3.29999999e+00 
 3.00000000e-01  3.00000000e-01  3.29999999e+00 
 3.10000000e-01  3.10000000e-01  3.29999999e+00 
 3.20000000e-01  3.20000000e-01  3.29999999e+00 
 3.30000000e-01  3.30000000e-01  3.29999999e+00 
 3.40000000e-01  3.40000000e-01  3.29999999e+00 
 3.50000000e-01  3.50000000e-01  3.29999999e+00 
 3.60000000e-01  3.60000000e-01  3.29999999e+00 
 3.70000000e-01  3.70000000e-01  3.29999999e+00 
 3.80000000e-01  3.80000000e-01  3.29999999e+00 
 3.90000000e-01  3.90000000e-01  3.29999999e+00 
 4.00000000e-01  4.00000000e-01  3.29999998e+00 
 4.10000000e-01  4.10000000e-01  3.29999998e+00 
 4.20000000e-01  4.20000000e-01  3.29999998e+00 
 4.30000000e-01  4.30000000e-01  3.29999998e+00 
 4.40000000e-01  4.40000000e-01  3.29999998e+00 
 4.50000000e-01  4.50000000e-01  3.29999998e+00 
 4.60000000e-01  4.60000000e-01  3.29999998e+00 
 4.70000000e-01  4.70000000e-01  3.29999998e+00 
 4.80000000e-01  4.80000000e-01  3.29999998e+00 
 4.90000000e-01  4.90000000e-01  3.29999998e+00 
 5.00000000e-01  5.00000000e-01  3.29999998e+00 
 5.10000000e-01  5.10000000e-01  3.29999998e+00 
 5.20000000e-01  5.20000000e-01  3.29999998e+00 
 5.30000000e-01  5.30000000e-01  3.29999998e+00 
 5.40000000e-01  5.40000000e-01  3.29999998e+00 
 5.50000000e-01  5.50000000e-01  3.29999998e+00 
 5.60000000e-01  5.60000000e-01  3.29999998e+00 
 5.70000000e-01  5.70000000e-01  3.29999998e+00 
 5.80000000e-01  5.80000000e-01  3.29999998e+00 
 5.90000000e-01  5.90000000e-01  3.29999998e+00 
 6.00000000e-01  6.00000000e-01  3.29999998e+00 
 6.10000000e-01  6.10000000e-01  3.29999998e+00 
 6.20000000e-01  6.20000000e-01  3.29999998e+00 
 6.30000000e-01  6.30000000e-01  3.29999998e+00 
 6.40000000e-01  6.40000000e-01  3.29999998e+00 
 6.50000000e-01  6.50000000e-01  3.29999998e+00 
 6.60000000e-01  6.60000000e-01  3.29999998e+00 
 6.70000000e-01  6.70000000e-01  3.29999998e+00 
 6.80000000e-01  6.80000000e-01  3.29999998e+00 
 6.90000000e-01  6.90000000e-01  3.29999998e+00 
 7.00000000e-01  7.00000000e-01  3.29999998e+00 
 7.10000000e-01  7.10000000e-01  3.29997178e+00 
 7.20000000e-01  7.20000000e-01  3.29988658e+00 
 7.30000000e-01  7.30000000e-01  3.29974344e+00 
 7.40000000e-01  7.40000000e-01  3.29954144e+00 
 7.50000000e-01  7.50000000e-01  3.29927959e+00 
 7.60000000e-01  7.60000000e-01  3.29895690e+00 
 7.70000000e-01  7.70000000e-01  3.29857235e+00 
 7.80000000e-01  7.80000000e-01  3.29812487e+00 
 7.90000000e-01  7.90000000e-01  3.29761338e+00 
 8.00000000e-01  8.00000000e-01  3.29703677e+00 
 8.10000000e-01  8.10000000e-01  3.29639389e+00 
 8.20000000e-01  8.20000000e-01  3.29568356e+00 
 8.30000000e-01  8.30000000e-01  3.29490456e+00 
 8.40000000e-01  8.40000000e-01  3.29405563e+00 
 8.50000000e-01  8.50000000e-01  3.29313549e+00 
 8.60000000e-01  8.60000000e-01  3.29214279e+00 
 8.70000000e-01  8.70000000e-01  3.29107617e+00 
 8.80000000e-01  8.80000000e-01  3.28993421e+00 
 8.90000000e-01  8.90000000e-01  3.28871545e+00 
 9.00000000e-01  9.00000000e-01  3.28741836e+00 
 9.10000000e-01  9.10000000e-01  3.28604140e+00 
 9.20000000e-01  9.20000000e-01  3.28458294e+00 
 9.30000000e-01  9.30000000e-01  3.28304132e+00 
 9.40000000e-01  9.40000000e-01  3.28141480e+00 
 9.50000000e-01  9.50000000e-01  3.27970161e+00 
 9.60000000e-01  9.60000000e-01  3.27789989e+00 
 9.70000000e-01  9.70000000e-01  3.27600771e+00 
 9.80000000e-01  9.80000000e-01  3.27402310e+00 
 9.90000000e-01  9.90000000e-01  3.27194399e+00 
 1.00000000e+00  1.00000000e+00  3.26976823e+00 
 1.01000000e+00  1.01000000e+00  3.26749361e+00 
 1.02000000e+00  1.02000000e+00  3.26511781e+00 
 1.03000000e+00  1.03000000e+00  3.26263842e+00 
 1.04000000e+00  1.04000000e+00  3.26005296e+00 
 1.05000000e+00  1.05000000e+00  3.25735882e+00 
