 v-sweep         v(in)           v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00000000e-01  3.33333333e-02 
 2.00000000e-01  2.00000000e-01  6.66666667e-02 
 3.00000000e-01  3.00000000e-01  1.00000000e-01 
 4.00000000e-01  4.00000000e-01  1.33333333e-01 
 5.00000000e-01  5.00000000e-01  1.66666667e-01 
 6.00000000e-01  6.00000000e-01  2.00000000e-01 
 7.00000000e-01  7.00000000e-01  2.33333333e-01 
 8.00000000e-01  8.00000000e-01  2.66666667e-01 
 9.00000000e-01  9.00000000e-01  3.00000000e-01 
 1.00000000e+00  1.00000000e+00  3.33333333e-01 
 1.10000000e+00  1.10000000e+00  3.66666667e-01 
 1.20000000e+00  1.20000000e+00  4.00000000e-01 
 1.30000000e+00  1.30000000e+00  4.33333333e-01 
 1.40000000e+00  1.40000000e+00  4.66666667e-01 
 1.50000000e+00  1.50000000e+00  5.00000000e-01 
 1.60000000e+00  1.60000000e+00  5.33333333e-01 
 1.70000000e+00  1.70000000e+00  5.66666667e-01 
 1.80000000e+00  1.80000000e+00  6.00000000e-01 
 1.90000000e+00  1.90000000e+00  6.33333333e-01 
 2.00000000e+00  2.00000000e+00  6.66666667e-01 
 2.10000000e+00  2.10000000e+00  7.00000000e-01 
 2.20000000e+00  2.20000000e+00  7.33333333e-01 
 2.30000000e+00  2.30000000e+00  7.66666667e-01 
 2.40000000e+00  2.40000000e+00  8.00000000e-01 
 2.50000000e+00  2.50000000e+00  8.33333333e-01 
 2.60000000e+00  2.60000000e+00  8.66666667e-01 
 2.70000000e+00  2.70000000e+00  9.00000000e-01 
 2.80000000e+00  2.80000000e+00  9.33333333e-01 
 2.90000000e+00  2.90000000e+00  9.66666667e-01 
 3.00000000e+00  3.00000000e+00  1.00000000e+00 
 3.10000000e+00  3.10000000e+00  1.03333333e+00 
 3.20000000e+00  3.20000000e+00  1.06666667e+00 
 3.30000000e+00  3.30000000e+00  1.10000000e+00 
 3.40000000e+00  3.40000000e+00  1.13333333e+00 
 3.50000000e+00  3.50000000e+00  1.16666667e+00 
 3.60000000e+00  3.60000000e+00  1.20000000e+00 
 3.70000000e+00  3.70000000e+00  1.23333333e+00 
 3.80000000e+00  3.80000000e+00  1.26666667e+00 
 3.90000000e+00  3.90000000e+00  1.30000000e+00 
 4.00000000e+00  4.00000000e+00  1.33333333e+00 
 4.10000000e+00  4.10000000e+00  1.36666667e+00 
 4.20000000e+00  4.20000000e+00  1.40000000e+00 
 4.30000000e+00  4.30000000e+00  1.43333333e+00 
 4.40000000e+00  4.40000000e+00  1.46666667e+00 
 4.50000000e+00  4.50000000e+00  1.50000000e+00 
 4.60000000e+00  4.60000000e+00  1.53333333e+00 
 4.70000000e+00  4.70000000e+00  1.56666667e+00 
 4.80000000e+00  4.80000000e+00  1.60000000e+00 
 4.90000000e+00  4.90000000e+00  1.63333333e+00 
 5.00000000e+00  5.00000000e+00  1.66666667e+00 
